id,team,first_name,second_name,web_name,element_type,squad_number,photo
604,12,Joshua,Wilson-Esbrand,Wilson-Esbrand,2,,447880.jpg
605,12,Romeo,Lavia,Lavia,3,,514356.jpg
615,12,Cieran,Slicker,Slicker,1,,434044.jpg
269,13,Edinson,Cavani,Cavani,4,,40720.jpg
270,13,David,de Gea,de Gea,1,,51940.jpg
271,13,Nemanja,Matic,Matic,3,,62398.jpg
272,13,Paul,Pogba,Pogba,3,,74208.jpg
273,13,Harry,Maguire,Maguire,2,,95658.jpg
274,13,Frederico,Rodrigues de Paula Santos,Fred,3,,101582.jpg
275,13,Luke,Shaw,Shaw,2,,106760.jpg
276,13,Jesse,Lingard,Lingard,3,,109322.jpg
277,13,Bruno Miguel,Borges Fernandes,Fernandes,3,,141746.jpg
278,13,Anthony,Martial,Martial,4,,148225.jpg
279,13,Alex Nicolao,Telles,Telles,2,,152590.jpg
280,13,Dean,Henderson,Henderson,1,,172649.jpg
281,13,Marcus,Rashford,Rashford,3,,176297.jpg
282,13,Donny,van de Beek,van de Beek,3,,180184.jpg
284,13,Victor,Lindelöf,Lindelöf,2,,184667.jpg
285,13,Scott,McTominay,McTominay,3,,195851.jpg
286,13,Eric,Bailly,Bailly,2,,197365.jpg
288,13,Aaron,Wan-Bissaka,Wan-Bissaka,2,,214590.jpg
289,13,Mason,Greenwood,Greenwood,3,,220688.jpg
459,13,Juan,Mata,Mata,3,,43670.jpg
485,13,Jadon,Sancho,Sancho,3,,209243.jpg
509,13,Tom,Heaton,Heaton,1,,21205.jpg
510,13,José Diogo,Dalot Teixeira,Dalot,2,,216051.jpg
511,13,Andreas,Pereira,Pereira,3,,156689.jpg
512,13,Anthony,Elanga,Elanga,3,,449434.jpg
555,13,Raphaël,Varane,Varane,2,,90152.jpg
579,13,Cristiano Ronaldo,dos Santos Aveiro,Ronaldo,4,,14937.jpg
19,14,Joseph,Willock,Willock,3,,200089.jpg
291,14,Jonjo,Shelvey,Shelvey,3,,50232.jpg
292,14,Matt,Ritchie,Ritchie,2,,56983.jpg
293,14,Ciaran,Clark,Clark,2,,58845.jpg
294,14,Karl,Darlow,Darlow,1,,59735.jpg
295,14,Martin,Dubravka,Dubravka,1,,67089.jpg
296,14,Callum,Wilson,Wilson,4,,75115.jpg
297,14,Jeff,Hendrick,Hendrick,3,,83314.jpg
298,14,Ryan,Fraser,Fraser,3,,90105.jpg
299,14,Jamaal,Lascelles,Lascelles,2,,101148.jpg
300,14,Dwight,Gayle,Gayle,4,,104547.jpg
301,14,Paul,Dummett,Dummett,2,,106618.jpg
302,14,Javier,Manquillo,Manquillo,2,,109528.jpg
303,14,Emil,Krafth,Krafth,2,,111773.jpg
304,14,Jacob,Murphy,Murphy,3,,114243.jpg
305,14,Fabian,Schär,Schär,2,,119471.jpg
306,14,Isaac,Hayden,Hayden,3,,153127.jpg
307,14,Allan,Saint-Maximin,Saint-Maximin,4,,170137.jpg
308,14,Miguel,Almirón,Almirón,3,,179018.jpg
309,14,Sean,Longstaff,S.Longstaff,3,,180135.jpg
310,14,Joelinton Cássio,Apolinário de Lira,Joelinton,4,,180974.jpg
311,14,Jamal,Lewis,Lewis,2,,194799.jpg
312,14,Matthew,Longstaff,M.Longstaff,3,,223175.jpg
465,14,Federico,Fernández,Fernández,2,,57145.jpg
513,14,Freddie,Woodman,Woodman,1,,155503.jpg
514,14,Mark,Gillespie,Gillespie,1,,81441.jpg
599,14,Joe,White,White,3,,461484.jpg
609,14,Elliot,Anderson,Anderson,3,,215379.jpg
145,15,Billy,Gilmour,Gilmour,3,,243568.jpg
290,15,Brandon,Williams,Williams,2,,232937.jpg
313,15,Michael,McGovern,McGovern,1,,18499.jpg
314,15,Tim,Krul,Krul,1,,20480.jpg
315,15,Teemu,Pukki,Pukki,4,,57127.jpg
316,15,Marco,Stiepermann,Stiepermann,3,,71738.jpg
317,15,Lukas,Rupp,Rupp,3,,76306.jpg
318,15,Kenny,McLean,McLean,3,,78607.jpg
319,15,Grant,Hanley,Hanley,2,,83428.jpg
320,15,Onel,Hernández,Hernández,3,,89470.jpg
321,15,Sam,Byram,Byram,2,,113564.jpg
322,15,Jordan,Hugill,Hugill,4,,167522.jpg
323,15,Kieran,Dowell,Dowell,3,,171270.jpg
324,15,Christoph,Zimmermann,Zimmermann,2,,192303.jpg
325,15,Todd,Cantwell,Cantwell,3,,193111.jpg
326,15,Max,Aarons,Aarons,2,,232980.jpg
327,15,Jacob,Sørensen,Sørensen,2,,235546.jpg
328,15,Przemyslaw,Placheta,Placheta,3,,428626.jpg
